id;modification_counter;name;description;type;start_date_time;end_date_time;commence_time;finish_time;duration;prizes;state;region;noofmcqs;eligibility_criteria;winner_selection;recurring;status;created;last_updated;completed;created_by;visibility;sponsored_by;file_id
1;40924;EXE COM;connecting;Peso Fundamental;2022-10-23;2022-10-23;2022-10-24;2022-10-23;52661;Analyst dynamic;Illinois;deposit SSL;51589;SMTP withdrawal embrace;calculate optical Credit;true;Table Bedfordshire;2022-10-23;2022-10-23;false;38727;USB;Profound;39035
2;91669;Architect impactful;mobile reboot expedite;Sleek;2022-10-23;2022-10-23;2022-10-23;2022-10-23;35094;up;Solutions York USB;Security Shoal;4431;Keys;transmitter array haptic;false;Ethiopian calculate Clothing;2022-10-24;2022-10-23;false;45954;Corporate;olive Account;8698
3;14885;Market Realigned;generation;Home Lead Vietnam;2022-10-23;2022-10-23;2022-10-23;2022-10-23;98745;deposit Home;Berkshire North;port;45406;web-enabled up capacity;Indiana;true;value-added Team-oriented transmit;2022-10-24;2022-10-23;false;46891;Algerian navigating;Oklahoma;87627
4;81818;Guiana invoice;De-engineered Somalia;Liaison;2022-10-24;2022-10-23;2022-10-24;2022-10-24;21113;Metal;International;Car;88957;Connecticut copying;SAS French;false;Lanka;2022-10-24;2022-10-23;true;12477;Bike;Strategist;5574
5;24906;Implemented exploit;Avon North invoice;open-source;2022-10-23;2022-10-24;2022-10-23;2022-10-24;94798;navigating Wall;Awesome Tasty program;engineer Buckinghamshire;52237;Distributed pixel hacking;bandwidth Intelligent;false;Ball Manat;2022-10-23;2022-10-24;true;34999;Towels program Palladium;Dollar reboot deploy;8008
6;8672;Shilling Loaf matrices;connect;bypass;2022-10-24;2022-10-23;2022-10-23;2022-10-23;99666;Cross-group;Intelligent;Account;19881;Sports Concrete;gold Sahara;true;Buckinghamshire;2022-10-23;2022-10-23;true;14591;index;bluetooth;23480
7;62833;Corporate sensor;asynchronous;systematic Multi-layered;2022-10-23;2022-10-24;2022-10-23;2022-10-23;25148;Awesome EXE magenta;Iraqi;Islands navigate;92825;Supervisor hack Chips;Research;false;Towels Stravenue Sleek;2022-10-24;2022-10-23;false;36061;intangible indexing Berkshire;blue;93884
8;80000;up backing Internal;Frozen;e-business;2022-10-24;2022-10-23;2022-10-23;2022-10-23;4689;Computer supply-chains;PNG;Rial;54232;Solomon;Cotton Cheese definition;false;blue Developer;2022-10-23;2022-10-23;true;94717;withdrawal;RAM turquoise Views;11460
9;27213;AI;hub;Ergonomic;2022-10-23;2022-10-24;2022-10-24;2022-10-23;12822;synthesize Norwegian Shilling;Oregon;dedicated connect Rhode;16843;Garden Technician;Bedfordshire;true;invoice;2022-10-23;2022-10-23;true;48148;withdrawal;Dollar;65308
10;43188;parse;program Bedfordshire Designer;encryption Books;2022-10-23;2022-10-23;2022-10-23;2022-10-24;40535;recontextualize initiative Programmable;Plastic SCSI;Fall;57164;microchip Coordinator Versatile;deposit payment Syrian;false;override up;2022-10-24;2022-10-24;true;16685;Metal Peso Alaska;Soap Investment Comoros;69048
