id;modification_counter;name;created;last_updated;status;compet_exam_id;curriculum;prize_mech
1;60770;Awesome red;2022-10-23;2022-10-23;Mission bandwidth solution;94164;Principal invoice;Card XSS Australia
2;70586;24/365 incremental Idaho;2022-10-23;2022-10-23;Steel;23514;purple Togo non-volatile;programming quantifying
3;15201;connecting Soap Investor;2022-10-23;2022-10-23;Michigan e-commerce Rubber;47640;Direct gold;Facilitator system withdrawal
4;83602;approach Card ivory;2022-10-23;2022-10-23;calculating Tennessee;70147;transmitting Pizza enterprise;pink synthesize
5;33830;Account deposit Jersey;2022-10-23;2022-10-23;Communications;76842;hack;niches SMTP Assistant
6;26427;up connecting projection;2022-10-23;2022-10-24;solution;50804;Beauty;Ariary Bulgarian multimedia
7;89222;methodologies Developer;2022-10-23;2022-10-23;copy transition;84049;circuit Bulgaria;programming feed
8;55984;Mountains bi-directional;2022-10-23;2022-10-23;Frozen Island bandwidth;60991;Central Steel Rustic;Outdoors Chips Wooden
9;85626;Comoros;2022-10-23;2022-10-23;methodologies;14813;Lesotho optimizing;CSS
10;94220;Reverse-engineered schemas;2022-10-24;2022-10-23;Branding;45373;program generating Lake;Chief reinvent Village
